source_case_id,source_title,cited_case_id,cited_title,emb_section_rank,emb_combined_rank,emb_component_rank,set_only_rank,full_section_rank,full_combined_rank,full_component_rank,pool_size
4,Sustainable Development and Resilient Infrastructure,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",102,17,17,59,73,41,45,118
4,Sustainable Development and Resilient Infrastructure,13,Sustainability -  Lawn Irrigation Design,4,6,5,1,1,2,2,118
4,Sustainable Development and Resilient Infrastructure,123,Engineer’s Obligation to Consider Feasible Options,72,15,15,7,12,6,6,118
4,Sustainable Development and Resilient Infrastructure,124,Public Criticism of Proposed Public Highway Route,97,28,29,44,50,27,28,118
4,Sustainable Development and Resilient Infrastructure,125,Endorsement of Project by Local Chapter,96,50,45,45,53,37,35,118
5,Community Engagement for Infrastructure Projects,90,Case Number 60-3,59,96,85,90,89,97,93,118
5,Community Engagement for Infrastructure Projects,91,Gifts To Foreign Officials - Application Of Code Of Ethics To Non-U.S. Engineers,90,112,106,25,28,34,30,118
5,Community Engagement for Infrastructure Projects,92,Whistleblowing - City Engineer,26,23,40,5,3,6,6,118
5,Community Engagement for Infrastructure Projects,93,Withholding Information Useful to Client/Public Agency,13,8,10,61,46,46,47,118
5,Community Engagement for Infrastructure Projects,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",116,115,113,7,51,29,24,118
6,Public Contracting Practices,117,Selection of Firm—Promise of Future Engineering Work on a Public Project,1,2,2,81,52,50,63,118
6,Public Contracting Practices,118,Protest of Low Fee Proposal,16,36,50,25,12,19,22,118
6,Public Contracting Practices,56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,15,13,14,59,39,36,42,118
6,Public Contracting Practices,10,Post-Public Employment - City Engineer Transitioning to Consultant,13,1,1,65,47,23,24,118
6,Public Contracting Practices,102,Case Number 58-1,66,20,35,89,100,78,83,118
6,Public Contracting Practices,60,Misrepresentation of  Qualifications,20,52,69,83,70,81,84,118
7,Use of Artificial Intelligence in Engineering Practice,120,Use Of Cadd System,1,1,1,22,4,5,8,118
7,Use of Artificial Intelligence in Engineering Practice,121,Use Of CD-ROM For Highway Design,33,56,72,12,12,16,18,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,18,Professional Responsibility if  Appropriate Authority Fails to Act,2,3,4,10,4,5,5,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,76,"Public Health, Safety, and Welfare—Drinking Water Quality",8,4,5,1,2,1,1,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,17,49,44,25,20,29,27,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,82,Criticism of Engineering in Products,97,43,43,53,60,49,51,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,83,Sustainable Development—Threatened Species,85,21,16,77,84,71,72,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,84,Duty To Report Safety Violations,66,9,7,73,72,58,61,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",28,23,24,102,92,82,89,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,86,Public Welfare—Client Action Following Engineers Services,10,17,17,43,25,33,33,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,87,Public Health and Safety—Building Codes to Address Environmental Risk,4,2,3,11,5,6,7,118
